   10      50
    9       8      22
    5       4      37
    8       2      47
    8       9      12
    5       1       6
    5       4      25
    4       4      24
   10      10      39
    3       2      13
    1       8      12
    1      10      13
    5       1      19
    3       4      29
    4       1      15
    9       1      22
    3       5      39
    3       1      17
    3       4      17
    6       3      47
    2       8      36
    4       7      25
    1       2      29
    5       6      18
    1       2      27
    9       1       9
    7       6      37
    6       4      11
    4       7      42
    1      10      38
    3       1      49
    6       6      30
    2       4       4
    7       1      41
    5      10      42
    4       3      48
    1       7      47
    4       6      42
    2       9      45
    4       5      18
    5       6      45
    6       2      16
    9       5      37
    2       1      22
    5       2      35
   10      10      42
    8       9      21
    6       2       9
    9       4       9
   10       4      30
    2       8      33
