  500   50000
  176     137      41
  133     479      35
  456     410      19
    9     486      21
  455     241      23
  410     341      14
  368     437      40
   68     285      34
   95     326      28
  433     127       8
  440     191       3
   62     486      13
  289      97      14
  295     496      48
  363     231      43
  196      69      31
  239      53      50
   51     427      15
   94      30      27
   14     349      47
  367     213      15
  106      65      45
  142     163      13
  400     175      34
  310     118      19
   55     324      44
  134     267      18
  268     345      42
   45      89      38
  472     246       6
  439     121      23
  205      74       9
  318     120      32
   60     183       2
   72     319      30
  209       1      22
   56     493       8
  175     378      48
  130     147      25
  107     149      46
  464      27      30
   97     478       4
  327     191      17
  168     300      48
  151     240       8
   27     361       8
  240     206      29
  167     356       3
  192     126       1
  326     480      14
  474     393      22
  293     298      35
  354     267       6
  405     399      24
  186     493      41
  391     208      40
  159      26      43
  389     367      46
  106      20      35
   77     372      10
  335     378      42
  424     267      40
  451     370      43
  239     125      39
   96     185      36
  429     309       7
  467     490      19
  453     286      50
  385     180       7
  455     148      21
  162     356       5
  109     468       4
  299     343       3
  169     239      23
  311     119      25
  273     444       3
  129     211      14
   85     445      44
  350      40      47
  363     142      50
  288      45      27
  448     109      45
  105     284      22
   86      15      19
  401      69       8
  135     137      15
  408     408       5
  492      26      23
   67     495      45
  488     116      40
   40      46      16
  364     287       7
   32     135      28
  469     196      41
  432     305      42
  402      13      46
  291     265      23
  207     164       5
   92     150      47
  166       3      47
  351     400       1
  467     274      48
  142     483      19
  132     388      20
  499     368      14
  231     263      22
  146     469       1
  363     425      46
  397     263      26
   70     213       1
  179     290       3
    3      22      23
  264     298      47
  228     139       3
  209     240      47
  331     279      43
  420     203      30
  420     410      35
  213     463      40
   78     135      28
  194     343       5
  340     343      48
  335     408      36
  397      19      47
  420     298      17
   71     367      23
  341     213      10
   40     281      27
  136     498       3
  144     267       6
   92     138       6
  278     500      13
  490     335      42
  229     249      45
   51     380      22
  481     320      42
  311     165      10
  317     468      40
   18     274      22
  399       1      46
  146     441      45
  132     178      45
  301     205       9
  416     332      33
   50     335      42
  269     211       8
  434     308      32
  469     250      32
  189     363      16
  120     230       4
  469     276      20
  300     416      10
  140     387      13
  441     409      37
  444      35      31
  391     306      49
  264     392      28
  355      77      13
  445     255      45
  141     249      44
  357      16      12
  178     349      17
  255     174      19
  332     378      36
  463     253      41
  314     382      35
  204     356      34
  105      41      10
  356     494      15
  350     270      46
  337     458      49
  167     157      47
   45     360      49
  468     464      23
  128       2      14
  232     494      22
  295      53      23
   75     409       6
  247      79      15
  224     359      13
  491     312      32
  419      29      18
  374     449      50
  126     469      38
  113     289      29
  290     459      40
    8     218      34
  257     216      42
  320      37       1
  275     391       4
   82     140      12
  404     479      24
  176     136      10
  275     364      18
  431     138       5
  370      32      30
  280     407      24
  489      89       6
  187      56      20
   44      88      18
  201      92       2
  358     225      25
  385      10      23
  152     342      28
  349     249      43
   68      89      28
  143     233       5
  294     222      28
  164     174      20
  392     117      24
  123     108      31
   74     422      43
  116     404      44
   23     136      21
  282      19      42
  193     477       6
  470     252      14
   10     226      39
   48     463      45
  436     488      18
  185     420      49
   30     114      37
   61     402       7
   13     231       7
  154      62      36
  448     233      46
  479     318      47
  380     290      23
   42      34      15
  361     241      31
    8     371      25
  481      69      46
  423      74      34
  122     472       1
   42      69      20
   26     197      28
  299     352      16
  459     368      12
  152     246       9
  144     422      19
  267     471      31
  160     473      45
  464      40      22
  149     483      26
  117     195       3
  413      21      43
  316     207      45
  388     120      34
  194     425      14
  224     320      40
  456     199      27
  184     367      16
  332     375      45
  129     193       4
  112     355      42
  175     355       6
  202     477      37
  378     390      46
  234      58      40
  209     469       9
  199     339      23
  341     263      50
  289      77      26
  498     208      16
   76     364      41
  429     337      36
  134      79      16
  361     264       9
  213     277      34
  462     130      11
  232     246      40
   72     443      41
  426     415      32
  254     361      14
  365     342      21
  430     392      28
    7     409      21
  477     259      20
  388     193      11
  297      90      21
  291     244      39
  208     489      25
  382     205      39
  313     400      50
  421     451      45
  155     423      14
  200     396      42
   99     421      25
  395     272      48
  462     200      42
  413     269      13
  449     119      36
  250     121      19
   25      55      45
   59     176       8
  335     202      34
  323     438       2
  220      83      22
  381     371      37
  122     123      10
   47     164      10
   73     431      10
  332     341       1
  281     131      24
  411     388       1
  130     254      49
  429     145      27
  416     193      47
   64      39      33
  293     230       1
  243     112      10
  460      47      40
  388     324      13
  296     315      22
  463     121      14
  225     449       8
   70     372      12
  410       6      21
  125     397      35
   32     453      31
  263     342      13
  220     372      11
   21      11      50
  134     302      29
  268     408      48
  462      50      13
  122     199      10
   87     338      33
  453     380      44
  154     259      18
  452       2      22
  422       4      22
  465     379      45
  233      11      35
  297     306      46
  250     293      27
  461     293      46
  290     471      33
  481     328      32
  445      36      38
  353     347      20
  198      85      35
  483       5      34
  228     281      25
   70     483      31
  315     488      47
   62       9      39
  259     144      50
   72     463      12
  315     128       1
  126     259      22
  235      57      43
  354     492      28
  395      11       4
    3      97      14
  140     183      43
  208     109       9
  207     359      29
   38     396      30
    2     100      12
   91     284      38
  249     497      19
  167     162      28
  421     317      34
  253     280       2
    7     275      22
  312     258      22
  107     409      31
  457      24       4
  267     105      13
  259     411      41
   71      16      48
   78      93       2
  322     113      38
  124     432      29
  153     238      15
  254     225      44
    2     410      33
   62     395      45
  482     437      46
   67     318       5
  101     279      29
  292     298      22
  212     107      16
   43     190      28
  287     161      24
  413     229      39
  317     138      12
   67     277      25
  438      99      44
  207     108      21
  395     247       5
    5      51       3
  351     106      26
  264     247       9
  132     385      34
  360       2       8
  394     117      33
  433     463      50
  448     112      40
  487      78      36
  160     178      12
  257     224      11
  390     259      38
   64      57       1
  429      37      11
  256     401       3
  464     179      11
  146      32      48
  275     455      28
  348     301      28
   40      99      38
  108     457      40
   66     214      13
  439      62      35
  309      95       9
  163     397      43
   64     388      44
  450     284      14
   75     454      22
  462     110      19
  226     209      34
  358     106      26
  439     108      42
  311     426       9
   68     250      24
  135     475      33
  349     209      16
  214     381      40
  224      19      16
  178     396      38
  202      25      35
  414       3      45
  363     347      13
  488      21      24
  442      41      36
  470     127      48
  374     457       8
   98     371      37
  276     346       3
  102     326      11
   72     244      36
  492     290      38
  217     477      28
   23     405      26
  326     271       4
   94      59      25
  368     220      46
   97       1      48
  240     480       3
  129     315      28
  328     319      45
  410      82      16
  330     113      40
  226     347      48
   62     131      49
  197     305      47
  187     289      19
  111      47      50
  403     470      38
   36      22       3
  211     252      30
   58      28      29
  274     436      11
   57     444      41
  422     291      50
   40      22      26
  128     284       6
  242     470      37
   49     282      12
   37     150       6
  233     403      14
  461     470      36
   89     279      11
  313     236       8
  446       2      19
  229     152      43
  439     156      45
   69      50      14
  297     224      37
  245     140      16
  422     124      46
  243     265      41
   99     451      39
  181      54       1
  428     467      30
  418     228       2
  482     495      17
  362      45      50
  317     291      44
  135     238      16
   67     424      43
  493     278       9
  169     392      49
  431     218      31
  289     470      21
  208     429      11
  139     235      41
  431      83      12
  208     431       3
  151     145      11
   37     303       9
   27     178      43
  469      67      39
  210     143      48
   44     442      17
  272     272      15
  350     230      13
   84      92      15
  165     357      41
   36     186      14
  476     191      16
  478     165      41
  357     459      13
   48      54      18
  483      61      43
  328      23      26
  238     395      14
  119      85       4
   84     406      25
  288     139      11
  362     111      12
  188     395      34
  256     341       1
  160     184       7
  401     402      12
  420     305      39
  241     308       3
  363     353      29
  462     392      41
  124     317      48
    2     235      35
   97      45       3
  448     405      42
   42     471       5
  350     363      50
  360     263      32
   77     449      13
  121      92      25
  258      88      28
  389     103       8
   85     334      41
   83     161      50
  118     389      12
  268     253      49
    4     458       1
  112     289      42
  112      30       7
  210      93      17
  108      72       5
  402     487       3
  162      68      23
  308     279      20
  363     389       8
  361     261      42
  379     349      41
  328      10       9
  344      89       2
  352     267       4
  226     195      32
  385     407      33
  335     366      31
   51      71      13
  409      26      23
  384      47      37
  427     228       4
  291     463      41
  500     194      42
  250     379      21
    9     433      48
  493     463      16
  404     384      23
  346     438      30
  242     149       3
  312     146      40
  230     180      16
  446     201       8
   33      47      15
  215     111      50
  198     217      20
  413     457      15
  460     488      24
   83     400      32
  417     266      10
  152     199      39
  338     445      41
  223     343      44
   65      66      47
   77     357      30
  255      13      24
  165      49       4
  489     316       8
  315     385      20
  282     292      45
  345     389       1
  316     178      39
  464     374      32
  259      54      47
  346     485      15
  476     137      42
   75     353      29
  258     148       1
  277     477      27
  388     171      47
   49       6      27
  170      45      13
  338     438      33
  348     310      22
  356     343      12
   11      87      50
  207     173      35
  176     443      25
  260     107      42
  128     405      21
  327      79      48
   53     305      42
   13     290      30
  190     307      12
   98     367       3
  376     471      50
  319     445      50
  420      31      26
  121     134      35
  423      32      34
  126     500      29
  349     264      11
  364     139      11
   10     284      28
  308     194      14
  490      46      39
   97     273      11
  412     456      44
  191      48       1
  161      21       9
  328     319      28
  189     381      36
  302     435      46
  238     117       4
  436     339       2
  219      40       2
  395     147      25
  162     290      31
  199     436      16
  440     351      45
  305     155      30
   61     459       8
  114     427       6
  255     468      43
  356     370      32
   40     427      49
  237     223      47
  372      84       9
  434     252       1
  300      89      48
  427     428      15
  196     261      50
  301     151       2
  183      98       8
  283     392      11
  448     453      20
  489     232      20
   41     391      41
  351     112      47
  434     256       9
    7     266      13
    5     197      28
  207      69       2
  300     224      17
  111     227       8
  487     207      32
  140     418      36
  209     434      44
  243     469      20
  343     310      13
  372      73      50
  303     193       5
   84     310      45
  409     391       3
  321     275      19
  261     441      20
  357      29      26
   72     404      48
  115      87       3
