 2000   20000
 1309    1664     261
 1992      78      64
  525     795     453
  830     349     489
  884      64     210
 1244    1124     498
  184     198     434
  909     680     433
  188    1919     455
  896    1289     134
 1958     469     482
 1362    1156     436
  595    1449     160
 1626    1801     187
 1314    1231     325
  741     971     175
  267    1035     184
 1427    1655      10
 1261    1202     317
 1105    1559     233
 1497     175     327
  949    1742     372
 1249     882      47
  452    1005     467
  851    1733      31
 1041      28     366
  952    1789     485
  293    1156     117
 1585    1547     313
 1090    1328     273
  759    1037      66
 1992    1603     469
  640     395     150
  213    1912     111
  494    1433     190
  246     983      61
  994    1120     267
 1358     779     345
  420    1375     490
  195     998     238
  465    1975      71
  884     122     275
 1629    1454     474
    4     527     341
  817    1142     251
 1116    1799      86
   37     237     495
 1894    1500     327
  708    1955     451
 1864     152     432
  368     756       4
  159     458     331
  113    1130     377
 1106       9     478
 1099     827     331
  184     937     263
  171     767      39
  975     260     446
 1809      62      27
  540     822     414
  222     107     127
  163     477      76
  366     178      17
  197     526     121
 1558     708     291
  478    1858     421
 1072     608     452
  554     880     427
 1755    1755     443
  393     281     452
   79    1287     222
   28     145     305
  847      36     155
  803    1898     464
  754     420      73
 1509     274     144
  151     909     432
  459    1639     119
   31    1600     345
  750    1797     266
 1121      88     344
 1015     791     158
 1168     843     291
 1179    1092     129
  516    1624      14
 1300     343     180
 1718    1377     310
  234     857     295
  972     685     313
  423     983     370
 1549     826     223
  724     602     121
 1253     965     237
 1117    1435     145
  883     660     248
  796    1296     312
 1111     799      17
    5     811     264
 1227     982      39
 1659    1090     277
  144     678     415
   14    1916     317
 1663     538     405
  653    1311     275
 1187    1801     421
 1269    1068     368
 1530    1272     216
  529     637     157
 1213    1236     316
 1349    1753     256
 1775    1084     175
 1716     970     363
 1283     397     495
 1651    1470      15
 1171    1208     294
 1800     906     256
 1783    1119     246
  106      51     194
 1450    1413      58
 1002    1630     342
 1402     753      49
  506     829      29
 1013     182     479
 1190      28     356
 1676    1077      68
  916    1093      36
 1070      61     333
  342     364     117
 1576     521     266
 1883    1583     216
 1685     458     359
  873     787     157
  790     591     360
 1494    1400     488
  685    1217     201
  610     659     452
  513     274      16
  135      28     406
 1879    1362      15
 1756    1664     125
  161    1259     300
  555    1390     196
 1454      66     264
  118     968     303
 1869    1913      19
  251    1092     358
  460     519      79
  531     719      30
  148     747     437
    4     808       3
   15    1910      33
 1276     134     321
 1530     237     136
  361    1799     480
  308    1343     422
  616     435     109
 1754    1822     326
 1991    1946     229
 1545    1379     193
  899     758      56
 1314     204      54
 1405     120     431
  971    1175     264
  648    1520     263
  501    1065     226
  782     507      45
 1292    1327      94
   98    1744     448
 1634     564     381
 1069     624     464
 1884     746      82
 1102     234     271
  283     883     143
  612     937     198
  360     510     478
  372    1069      25
 1040    1084     451
 1868     785      18
 1727    1376     134
  691    1132     308
  987     637     383
 1561    1602     392
  833    1838     285
 1266    1839     451
 1176    1107     392
 1324    1059     384
 1431      81     355
  733     925     409
  360    1079     472
  910    1770     231
 1810    1411     370
  461     128     367
 1323     923     132
  200    1868     208
  216    1918     329
 1412    1609     197
 1839    1064     305
  269     686     229
  384     637     487
 1115     116     319
  804    1547      82
 1818    1434      74
  573     569      81
  687    1329      35
  107    1550     175
  672    1856     304
  912    1597     361
 1295    1556      80
 1324    1513      60
  827    1536     464
  564    1926     358
  567    1467     177
  411    1565     100
  805    1738      96
  509    1953     319
  176    1383      14
  569    1050     496
 1675     278      34
  524     575     186
 1420     793     209
 1764    1297     169
 1812     692     225
 1107     928     137
 1953     831     297
 1312     504     190
 1758     628     425
 1989     741     113
 1004    1077     100
 1733    1514     288
  564    1552     384
  465     456      97
  655     872     359
 1334     293     428
  420     801     283
