10000   100000
 1364    9496      48
 4398    5886       7
 9532    6973      26
 2115    4329      49
 5410    3746      44
 6047    4317      29
 1490    3108       2
 1714     762      22
 7702    3693      26
 7119    8537      41
 6614    6887       7
 8851     545      22
 5823     770      19
 6503    9071       2
  249    8414      17
  917     695      28
  377    4098      26
 1138    6622      18
 4830    5747      31
 9719    3338      34
 6605    2896       2
 7149     169      18
 4270    5487      18
 3340    6688      43
 8106    6356      47
 5152    7785      47
 5601    5261      16
 2222     578      42
 4321    7608      29
 7658    5044      11
 6905    9597      29
 7073     764      35
 2559    7134      33
 5598    5678       2
 8306    7076      44
 6090    5075      49
 1350    3990       2
 8279    9633       2
 5887    6413      24
  930    8023      44
  526    9351       3
 7642    3635       9
 1127    1419      31
 3156    3473      41
  231    8866      40
 1657    8716      45
 5646    3717      35
 1630    4318      36
 8043    3493      15
 2417    6988       3
 8120    4492      34
 1754    8900      11
 9525    6732       4
 9349    3474      30
 4566    5814      37
 9633    2810      20
 3349    9544      26
 4018     332      24
 3863    3046       3
 7202    7998      47
 1694     231      14
  593    9341      33
 3677    2445      38
 7150    3026      14
 9315    6763      12
 2125    7082      27
 8020    5409       9
 8351    9382       9
 7748    1337      29
 5745    1333      43
 2327    3746      44
 8020     630      37
 6816    9268      32
 6193    3781       8
 9307    3995       7
 2740    8773      22
 8149    6832      48
 7530     942      17
 8866    5422      20
 6551    3764      17
  296    9308      14
 7278    6544      40
 6545     725      11
 6677    8582      26
  671    9941      21
 9444     614      27
 2627    3411      17
 9920    4227      15
 5342    6098      46
 9105    9365      12
 4764    1080      14
 1308    5121       9
 8384    7182      38
 3318    2409      32
 9610    3829      11
  223    4556      33
 3633    8022      26
 4211    5988       4
  309    1483      24
 6025    2196      15
 7104    9459      21
 2224    3370      35
 5757    4557      44
 8166    8641      29
 8346    9401      46
 9253    7183       7
 3626     761      29
 9613    6964      13
 1096    3087      24
 9643     903      34
 9102    4176      10
 2471    5860      13
 3379    1555      38
 2019    5633      47
 1419    9381      14
 8602    2737       9
 9362    6316      14
 2677    9878      39
 2116    4003       4
 3018    8436       1
 3545    1597      43
 9404    1861      44
 7310    4349      16
 2943    5297      45
 2323    4410      13
 5059    8220      34
 7726    1283      37
 3956    4324      50
 7958    6977      26
 2746    7077      41
 4342    6819      11
 2555    2015       5
 3255    6032      11
 8551    3428      20
 2960    2843      12
 1179    3676      36
 8814    9462      47
 3137     961      22
  113    1488      29
 3541    7779      37
 6711    3439      34
 8725    8995      27
 1109     307      31
 4536    2577      35
 3730    4140      35
 7405    8026      46
 3218    9674      27
 4178    2695      40
 5666    6024      28
 9796    3662      40
 9586     397      32
 4932    1473      42
 5239    1456      19
 7815    8340      27
 8306     127      14
 2683    1224      44
 2356    3500      48
 5051     941      18
 7426    1518      47
 7439    8559      14
 7835    9140       9
 5659    6432      46
 3466    8800      28
 1806    2276      16
 8284    2991      32
 9507    1084      37
 3007    2934      20
 3947    8001      25
 5465    3597      27
  375    1211       4
 9515    4971      44
 5946    8317      30
 4745    6594      39
 3372    6461       4
 6362    4142      11
 3798     128      46
 6731    5149       3
 1083    6174      11
 4679    4952       9
 2241    1156      25
 7212    1149      50
 5528    1681      14
 8473    7871      11
 4933    1174       5
 9074    8987      28
 5553    1434      41
  702    7036      38
 3227    8348      20
 4530    3607       2
 5685    7033      33
 3186    4482      23
 1218    7797      36
 9088    7057      15
 6613    7413      37
 5599    1140      21
 7033    3933      46
  420    4170       1
 5120    3842       2
 5078    8243      30
 2110      27       9
 6592    4052      46
 4388    5287      33
 1445    8402      50
 8857    6340      37
 6349    9211      49
  281    3858      50
  802    4058      34
 4643    4959       5
 9238    1790      24
 9264    3151       1
 9667     196      11
 4954    3130       4
 3355     929      43
 6046    4167      37
 1608    7665      46
 5466    9466      46
 9523    8299      26
  834     256      27
 2623     979      22
 5773    3132       9
 2320    7394      24
 5449    8247      41
 2729    9839      46
 6895    9228       2
  912    3825      47
  377    4770       5
 5028    5995      20
 5283    4373      44
 2613    3746      27
 5744    6004       2
 9489     230      26
 7735    4122      46
 3926    9319      46
 9505    7870      27
 3329    2466      21
 8098    5022      34
  444    3043      11
 1168     587      40
 4914    5315      22
 7269    2666      36
 3850    2142      32
 4323     289      20
 3641     236       7
 1510    2912      34
  328    8835      38
 5349    5668      16
 4744    9230      15
 1682    7819      10
 6996    8042      27
 9662     878      42
 8155    5809      11
 8443    6580      12
 5030    5086      35
 7942    3869      25
 6776    8508      35
 8795     123      14
 8025    2539      12
 5843    1750       7
 3885    5777      38
 4762    7420      34
 6922    6332      47
 9853    9094       1
 4939    6178      43
 5159    3254      24
   19    1840      15
  141     753      42
 9032    1367      37
  781    6723      11
 2909    3761       5
  329    4146      39
 3012    4192       2
 2105    2392      25
 4634    5386      28
 7888    3409      18
 9727    5726      26
  480    4817      44
 8198    9055      37
 4920    1317      20
 5032    9422       2
 9177    1410      11
 9720    4512      41
 2111     886       2
 3848    3465       9
 3609     982      42
 9334    3658      29
  502    2703       8
 9557    8241      39
  873    9162      36
  294     864       7
 8056    5474      39
 8919    3116      17
