   10      50
    1       9       8
    7       3      24
    5       9      24
   10       4      45
    7      10      42
    5      10       4
    9       3      14
    1       8      28
    3       8       9
    6       6      32
    6       2       9
   10       8       1
    3       6      46
    8       7      45
    8       1      32
    8       9      36
    6       9      40
    2       4      44
    4       7      14
    5       4      33
    8       3      38
    7      10      28
    5       6      30
    1       6      35
    9       6      24
    6       3      40
    5       9      24
    7       1       9
    4       9      12
    9       5      42
    5      10      12
    9       7      20
    4       2      11
    4       6      23
    2       1      45
    6       3      29
    4       2       8
    8       9       4
    2       2      36
    6       7      37
    1      10      47
    5       4      27
    2      10       2
    2       9      25
    3       5      43
   10       1      30
    9       1      13
    4       9      38
    7       1       9
    5       3      49
